"zip","city","county","pop"
"24323","Crockett","Wythe","893"
"24473","Rockbridge Baths","Rockbridge","889"
"22437","Center Cross","Essex","888"
"22654","Star Tannery","Frederick","875"
"22740","Sperryville","Rappahannock","873"
"23076","Hudgins","Mathews","872"
"22511","Lottsburg","Northumberland","871"
"24282","Saint Charles","Lee","865"
"24237","Dante","Russell","865"
"22847","Quicksburg","Shenandoah","861"
"22488","Kinsale","Westmoreland","860"
"24059","Bent Mountain","Roanoke","853"
"23846","Elberon","Surry","852"
"24280","Rosedale","Russell","850"
"24622","Jewell Ridge","Tazewell","839"
"24352","Laurel Fork","Carroll","839"
"23962","Randolph","Charlotte","830"
"23407","Mappsville","Accomack","828"
"20143","Catharpin","Prince William","827"
"24150","Ripplemead","Giles","820"
"24565","Java","Pittsylvania","815"
"22736","Richardsville","Culpeper","810"
"23894","Wilsons","Dinwiddie","807"
"24270","Mendota","Washington","793"
"24374","Speedwell","Wythe","791"
"24077","Cloverdale","Botetourt","769"
"23129","Oilville","Goochland","767"
"24603","Big Rock","Buchanan","766"
"23306","Belle Haven","Accomack","766"
"23055","Fork Union","Fluvanna","763"
"24245","Dungannon","Scott","757"
"23004","Arvonia","Buckingham","750"
"23889","Warfield","Brunswick","748"
"23357","Greenbush","Accomack","747"
"22726","Lignum","Culpeper","743"
"22436","Caret","Essex","736"
"23347","Eastville","Northampton","730"
"24459","Middlebrook","Augusta","728"
"24272","Nora","Dickenson","716"
"24265","Keokee","Lee","707"
"23128","North","Mathews","707"
"24437","Fort Defiance","Augusta","705"
"23307","Birdsnest","Northampton","704"
"22627","Flint Hill","Rappahannock","704"
"23857","Gasburg","Brunswick","687"
"23709","Portsmouth","Portsmouth City","686"
"23050","Dutton","Gloucester","685"
"23023","Bruington","King And Queen","675"
"24474","Selma","Alleghany","672"
"24602","Bandy","Tazewell","670"
"23359","Hallwood","Accomack","666"
"23177","Walkerton","King And Queen","664"
"24082","Critz","Patrick","650"
"22480","Irvington","Lancaster","647"
"22448","Dahlgren","King George","646"
"24646","Rowe","Buchanan","642"
"24595","Sweet Briar","Amherst","639"
"23413","Nassawadox","Northampton","639"
"23180","Water View","Middlesex","633"
"24020","Roanoke","Roanoke","632"
"23138","Port Haywood","Mathews","625"
"22811","Bergton","Rockingham","619"
"22810","Basye","Shenandoah","613"
